Market,err_2025 Q3,err_2025 Q4,err_2026 Q1,MAE,MeanError,Variable
Chattanooga - TN,0.005206960189823251,0.002022330418597784,-0.006021381613398269,0.004416890740606434,0.0004026363316742554,Supply
Chicago - IL,0.00021481529813960343,0.00020218637303037745,0.0004286778943982661,0.00028189318852274897,0.00028189318852274897,Supply
Cincinnati - OH,0.001767947064652553,0.001923898031496618,-0.0032204302419551745,0.002304091779368115,0.0001571382847313322,Supply
Cleveland - OH,-0.0022253268214755817,0.0008769092528913003,-3.196028826257802e-05,0.0010447321208764866,-0.0004601259522822865,Supply
Colorado Springs - CO,-0.009402080406345492,-0.011776328621617482,-0.011322815481016102,0.010833741502993025,-0.010833741502993025,Supply
Columbia - SC,-0.00951453151824544,-0.007385306244993561,-0.013526752350148774,0.010142196704462592,-0.010142196704462592,Supply
Columbus - OH,-0.005723353930332298,-0.008388718200859513,-0.009062904327249655,0.0077249921528138215,-0.0077249921528138215,Supply
Corpus Christi - TX,-2.9971527049199587e-05,0.011329237224636302,-6.001064166261116e-06,0.0037884032719505876,0.0037644215444736138,Supply
Dallas-Fort Worth - TX,-0.0032652133208388445,-0.004282028046442177,-0.009237467785204512,0.005594903050828511,-0.005594903050828511,Supply
Dayton - OH,-0.005963204371768116,-0.0107222311129066,-0.007429626223963037,0.00803835390287925,-0.00803835390287925,Supply
Daytona Beach - FL,0.01568824218096676,-0.003650210611321869,0.006856366198666919,0.008731606330318517,0.00629813258943727,Supply
Denver - CO,-0.003953976964603978,-0.006654473249776638,-0.008172811981325578,0.006260420731902065,-0.006260420731902065,Supply
Des Moines - IA,-0.01750399566545524,-0.019589679576302865,-0.019339414833831947,0.018811030025196684,-0.018811030025196684,Supply
Detroit - MI,-7.084334259577219e-05,0.0003286769535693068,0.00011325918801441404,0.00017092649472649768,0.00012369759966264957,Supply
Durham - NC,0.006001445955539753,0.011136589815448295,0.030287927131997572,0.015808654300995206,0.015808654300995206,Supply
East Bay - CA,0.001170062943136152,0.0007015522921827166,0.0021532910205421807,0.0013416354186203498,0.0013416354186203498,Supply
El Paso - TX,-8.838446124803667e-05,-0.00019407610022237343,-0.00012048555876376099,0.00013431537341139035,-0.00013431537341139035,Supply
Fayetteville - NC,0.011210119737144142,-0.0030989148921873877,-0.00035661292556521396,0.004888549184965581,0.0025848639731305134,Supply
Flint - MI,0.0042343329680183395,0.0041845172860415225,0.00043561084565091335,0.002951487033236925,0.002951487033236925,Supply
Fort Lauderdale - FL,0.0013802559838467232,0.004014569125601719,0.0006875869612641416,0.002027470690237528,0.002027470690237528,Supply
Fort Myers - FL,0.014958407964171583,0.0043025463081467485,0.018926337658836445,0.012729097310384926,0.012729097310384926,Supply
Fort Wayne - IN,-0.004738514114478454,-0.006093440516969695,-0.0061714253879046055,0.005667793339784251,-0.005667793339784251,Supply
Fresno - CA,-0.0013694352710493796,-0.001404735410484803,-0.003097477930953607,0.0019572162041625965,-0.0019572162041625965,Supply
Grand Rapids - MI,-0.005622677733706616,-0.011843425746289604,-0.002389834799870094,0.006618646093288771,-0.006618646093288771,Supply
Greensboro - NC,-0.0037903856944725423,-0.0070056377379255075,-0.007670569917756831,0.0061555311167182936,-0.0061555311167182936,Supply
Greenville - SC,-0.011721931910312566,-0.011498236315688581,-0.010693644779991462,0.01130460433533087,-0.01130460433533087,Supply
Gulfport-Biloxi-Pascagoula - MS,-5.230399079436676e-05,-0.003295490683267066,-0.02819478402343778,0.010514192899166405,-0.010514192899166405,Supply
Harrisburg - PA,-0.0025204369678153427,-0.002580663419272766,-0.0026408898707301898,0.002580663419272766,-0.002580663419272766,Supply
Hartford - CT,-0.007224042953768883,-0.008509555172539596,-0.010813749531785488,0.008849115886031322,-0.008849115886031322,Supply
Honolulu - HI,0.0,0.0,0.0,0.0,0.0,Supply
Houston - TX,-0.00428912605774312,-0.0052220278103136675,-0.010036522701965644,0.006515892190007477,-0.006515892190007477,Supply
Huntsville - AL,-0.011251985836789657,-0.020665191014425988,-0.014263352537735141,0.015393509796316929,-0.015393509796316929,Supply
Indianapolis - IN,-0.007800614916063875,-0.00971945571945132,-0.010443413638081545,0.009321161424532246,-0.009321161424532246,Supply
Inland Empire - CA,0.0017562879902226491,-0.004138154917433745,-0.001765214447592811,0.002553219118416402,-0.001382360458267969,Supply
Jackson - MS,0.0012234970630519149,0.001189176439789108,0.00867107231101838,0.003694581937953134,0.003694581937953134,Supply
Jacksonville - FL,-0.005692928365091943,-0.005851423358714358,-0.007979733843859416,0.006508028522555239,-0.006508028522555239,Supply
Kansas City - MO,-0.0032336069907699105,-0.0006845833612645347,0.0033209306412282924,0.002413040331087579,-0.0001990865702687176,Supply
Killeen - TX,-0.020391370326499847,-0.020434786294893037,-0.025163871923575054,0.021996676181655978,-0.021996676181655978,Supply
Knoxville - TN,0.007596131815134299,-0.002053323404329621,-0.008248904033788973,0.005966119751084298,-0.0009020318743280983,Supply
Lafayette - LA,-0.009319258460079194,-0.015011539897181292,-0.015131884081548641,0.013154227479603042,-0.013154227479603042,Supply
Lakeland - FL,-0.001882696579282861,-0.013272173037505386,-0.011040712817567577,0.008731860811451941,-0.008731860811451941,Supply
Lancaster - PA,-5.175715542682369e-05,-0.006970415776916594,-0.010651205190407964,0.005891126040917127,-0.005891126040917127,Supply
