Market,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1
Lancaster - PA,1,1.006928675400291,1.006928675400291,1.0259679767103347,1.0277147016011645,1.0350509461426491,1.0350509461426491,1.0372052401746725,1.045589519650655,1.0483842794759826,1.0596215429403202,1.060494905385735,1.0619505094614266,1.0624163027656477,1.0624163027656477,1.083901018922853,1.089490538573508,1.1034643377001456,1.1249490538573508,1.1249490538573508
Lansing - MI,1,1.0161761775061449,1.0175048163156846,1.0175048163156846,1.0272038796253238,1.0282003587324786,1.0288978941074869,1.0349099847206538,1.0349099847206538,1.0349099847206538,1.0349099847206538,1.0426160898159835,1.0442436723576696,1.0474324055005646,1.0474324055005646,1.0474324055005646,1.0474324055005646,1.0474324055005646,1.0510197302863216,1.0510197302863216
Las Vegas - NV,1,1.0052234777915137,1.0135636306652969,1.018102252479701,1.0221591535644432,1.0255311986720759,1.0307488725993768,1.0315672174533805,1.0377657444326434,1.0451076326618263,1.0457112345399566,1.0572028856812865,1.0633956087963365,1.0733144127359997,1.0835234098863022,1.0926761037498767,1.0983871061352648,1.1028676893075409,1.1132391946558018,1.119681483932002
Lehigh Valley - PA,1,1.009672121175254,1.0158464626802117,1.0243019648397105,1.0243019648397105,1.0243019648397105,1.0301417361153355,1.0461402761725165,1.0637812519009673,1.077529046779001,1.0824867692682036,1.0857412251353489,1.0893910821826145,1.0936796642131517,1.098971956931687,1.1006143926029563,1.1006143926029563,1.1042338341748281,1.1177078897743171,1.1277754121296917
Lexington - KY,1,1.0113114077335903,1.0113114077335903,1.0197880831154533,1.0259529379386267,1.0259529379386267,1.0300536672629697,1.0300536672629697,1.0300536672629697,1.0300536672629697,1.0374845190587587,1.0491812302187973,1.0679510114214945,1.0707031787532681,1.0707031787532681,1.0707031787532681,1.0777762487959268,1.0777762487959268,1.0891426998761524,1.0921976056144214
Little Rock - AR,1,1.0225786924939468,1.034180790960452,1.0376513317191283,1.039507667473769,1.044592413236481,1.0503228410008072,1.0563962873284907,1.0574858757062147,1.0574858757062147,1.0574858757062147,1.0586965294592414,1.0586965294592414,1.0637207425343018,1.0637207425343018,1.0659402744148507,1.0740718321226796,1.0812953995157386,1.0870056497175142,1.0870056497175142
Long Island - NY,1,1.0078212502610246,1.0200656833152988,1.0239763084458113,1.0249254893027318,1.0311521157241301,1.0326138542437877,1.036201757882947,1.041858875790193,1.0550524897013878,1.0559826869411697,1.0574064582265505,1.0585834424891318,1.0743588283311503,1.0914820509899956,1.1034796970214704,1.1053021242667578,1.1055109440552804,1.1095924217400384,1.1131233745277824
Los Angeles - CA,1,1.0030073262308679,1.0062347495245403,1.0088378975128032,1.0119562727162679,1.0143643346715903,1.0175067204637245,1.0198567568297618,1.0220077053980805,1.0240946257299468,1.0272710265226965,1.02995320936533,1.0339489714964298,1.0371833978784644,1.0387330812888484,1.04059990455791,1.0432560759294849,1.045549087147432,1.047681027333054,1.0492687275088315
Louisville - KY,1,1.0033624990961023,1.0099910815436162,1.0165473521826114,1.023513389736544,1.0345650444717622,1.0364692554294117,1.0461108298985224,1.049569744739316,1.05906669559139,1.0681659314966134,1.0756140477740015,1.0804830428809025,1.088437341817919,1.0915226456480343,1.1041290042663967,1.1148311519271097,1.1330296237375563,1.139995661291489,1.1467688673560392
Madison - WI,1,1.0062098061213203,1.0073790825920015,1.0087379714633338,1.0252658523867462,1.0486197797335945,1.056346485060123,1.060170335139918,1.074707285856495,1.0895602572408236,1.095232828226966,1.1119345205176419,1.130785153349029,1.1574888997740451,1.1659740547031776,1.17066696161929,1.1873370518431905,1.2000094806200325,1.2099957337209855,1.2185282917502804
